"InteractorAChr","InteractorAStart","InteractorAEnd","InteractorBChr","InteractorBStart","InteractorBEnd","Agene","Bgene","Organism","CellTissue","Detection_Method","Confidence_Score1","Confidence_Score2","Contact_Frequency","Pubmed_ID"
"chr11",1891695,1918488,"chr11",2169844,2172799,"LSP1,C11orf89","IGF2,ENSG00000167244","hg19","H1ESC","5C",3.34622468255971e-05,3.34622468255971e-05,142,22955621
"chr11",1891695,1918488,"chr11",2169844,2172799,"LSP1,C11orf89","IGF2,ENSG00000167244","hg19","K562","5C",3.34622468255971e-05,3.34622468255971e-05,142,22955621
"chr1",151171193,151178589,"chr1",151203965,151215310,"PIP5K1A,ENSG00000143398","PIP5K1A,ENSG00000143398","hg19","GM12878","5C",0.00101240877204373,0.00101240877204373,972,22955621
"chr1",151171193,151178589,"chr1",151203965,151215310,"PIP5K1A,ENSG00000143398","PIP5K1A,ENSG00000143398","hg19","H1ESC","5C",0.00101240877204373,0.00101240877204373,972,22955621
"chr1",151171193,151178589,"chr1",151203965,151215310,"PIP5K1A,ENSG00000143398","PIP5K1A,ENSG00000143398","hg19","HELA","5C",0.00101240877204373,0.00101240877204373,972,22955621
"chr1",151171193,151178589,"chr1",151203965,151215310,"PIP5K1A,ENSG00000143398","PIP5K1A,ENSG00000143398","hg19","K562","5C",0.00101240877204373,0.00101240877204373,972,22955621
"chr1",151171193,151178589,"chr1",151219411,151234038,"PIP5K1A,ENSG00000143398","PSMD4,ENSG00000159352","hg19","GM12878","5C",6.35628970641117e-07,6.35628970641117e-07,1021,22955621
"chr1",151171193,151178589,"chr1",151219411,151234038,"PIP5K1A,ENSG00000143398","PSMD4,ENSG00000159352","hg19","H1ESC","5C",6.35628970641117e-07,6.35628970641117e-07,1021,22955621
"chr1",151171193,151178589,"chr1",151219411,151234038,"PIP5K1A,ENSG00000143398","PSMD4,ENSG00000159352","hg19","HELA","5C",6.35628970641117e-07,6.35628970641117e-07,1021,22955621
"chr1",151171193,151178589,"chr1",151219411,151234038,"PIP5K1A,ENSG00000143398","PSMD4,ENSG00000159352","hg19","K562","5C",6.35628970641117e-07,6.35628970641117e-07,1021,22955621
"chr1",151171193,151178589,"chr1",151246650,151254384,"PIP5K1A,ENSG00000143398","RP11-126K1,ZNF687,ENSG00000143373","hg19","GM12878","5C",3.80884675369745e-07,3.80884675369745e-07,1909,22955621
"chr1",151171193,151178589,"chr1",151246650,151254384,"PIP5K1A,ENSG00000143398","RP11-126K1,ZNF687,ENSG00000143373","hg19","HELA","5C",3.80884675369745e-07,3.80884675369745e-07,1909,22955621
"chr1",151171193,151178589,"chr1",151254384,151268403,"PIP5K1A,ENSG00000143398","RP11-126K1,ZNF687,PI4KB,ENSG00000143373,ENSG00000143393","hg19","HELA","5C",0.000304090700785347,0.000304090700785347,1203,22955621
"chr1",151171193,151178589,"chr1",151270864,151283078,"PIP5K1A,ENSG00000143398","PI4KB,ENSG00000143393","hg19","K562","5C",0.00728017384211914,0.00728017384211914,248,22955621
"chr1",151171193,151178589,"chr1",151309061,151322694,"PIP5K1A,ENSG00000143398","RFX5,ENSG00000143390","hg19","HELA","5C",8.29511687080925e-05,8.29511687080925e-05,1050,22955621
"chr1",151171193,151178589,"chr1",151333184,151350267,"PIP5K1A,ENSG00000143398","SELENBP1,ENSG00000143416","hg19","GM12878","5C",1.14280631601933e-06,1.14280631601933e-06,1051,22955621
"chr1",151171193,151178589,"chr1",151333184,151350267,"PIP5K1A,ENSG00000143398","SELENBP1,ENSG00000143416","hg19","HELA","5C",1.14280631601933e-06,1.14280631601933e-06,1051,22955621
"chr1",151171193,151178589,"chr1",151333184,151350267,"PIP5K1A,ENSG00000143398","SELENBP1,ENSG00000143416","hg19","K562","5C",1.14280631601933e-06,1.14280631601933e-06,1051,22955621
"chr1",151171193,151178589,"chr1",151368336,151375897,"PIP5K1A,ENSG00000143398","PSMB4,ENSG00000159377","hg19","HELA","5C",6.68446943775508e-05,6.68446943775508e-05,941,22955621
"chr1",151171193,151178589,"chr1",151411623,151426875,"PIP5K1A,ENSG00000143398","POGZ,ENSG00000143442","hg19","GM12878","5C",0,0,1557,22955621
"chr1",151171193,151178589,"chr1",151411623,151426875,"PIP5K1A,ENSG00000143398","POGZ,ENSG00000143442","hg19","HELA","5C",0,0,1557,22955621
"chr1",151171193,151178589,"chr1",151496437,151509688,"PIP5K1A,ENSG00000143398","CGN,ENSG00000143375","hg19","HELA","5C",0.000125052154767987,0.000125052154767987,646,22955621
"chr1",151171193,151178589,"chr1",151516085,151535167,"PIP5K1A,ENSG00000143398","TUFT1,ENSG00000143367","hg19","GM12878","5C",0,0,510,22955621
"chr1",151171193,151178589,"chr1",151516085,151535167,"PIP5K1A,ENSG00000143398","TUFT1,ENSG00000143367","hg19","H1ESC","5C",0,0,510,22955621
"chr1",151171193,151178589,"chr1",151516085,151535167,"PIP5K1A,ENSG00000143398","TUFT1,ENSG00000143367","hg19","HELA","5C",0,0,510,22955621
"chr1",151171193,151178589,"chr1",151618750,151636526,"PIP5K1A,ENSG00000143398","SNX27,ENSG00000143376","hg19","HELA","5C",0.0011243621380583,0.0011243621380583,414,22955621
"chr13",113294757,113305233,"chr13",113488215,113496478,"C13orf35,ENSG00000197595","ATP11A,ENSG00000068650","hg19","H1ESC","5C",0.00158085020376014,0.00158085020376014,327,22955621
"chr13",113294757,113305233,"chr13",113488215,113496478,"C13orf35,ENSG00000197595","ATP11A,ENSG00000068650","hg19","K562","5C",0.00158085020376014,0.00158085020376014,327,22955621
"chr13",113294757,113305233,"chr13",113496478,113497139,"C13orf35,ENSG00000197595","ATP11A,ENSG00000068650","hg19","GM12878","5C",0,0,803,22955621
"chr13",113294757,113305233,"chr13",113496478,113497139,"C13orf35,ENSG00000197595","ATP11A,ENSG00000068650","hg19","H1ESC","5C",0,0,803,22955621
"chr13",113342742,113346444,"chr13",113488215,113496478,"ATP11A,ENSG00000068650","ATP11A,ENSG00000068650","hg19","K562","5C",9.76373120890493e-05,9.76373120890493e-05,226,22955621
"chr13",113348809,113360063,"chr13",113488215,113496478,"ATP11A,ENSG00000068650","ATP11A,ENSG00000068650","hg19","H1ESC","5C",4.87738741396037e-08,4.87738741396037e-08,475,22955621
"chr13",113348809,113360063,"chr13",113488215,113496478,"ATP11A,ENSG00000068650","ATP11A,ENSG00000068650","hg19","HELA","5C",4.87738741396037e-08,4.87738741396037e-08,475,22955621
"chr13",113348809,113360063,"chr13",113488215,113496478,"ATP11A,ENSG00000068650","ATP11A,ENSG00000068650","hg19","K562","5C",4.87738741396037e-08,4.87738741396037e-08,475,22955621
"chr13",113348809,113360063,"chr13",113496478,113497139,"ATP11A,ENSG00000068650","ATP11A,ENSG00000068650","hg19","GM12878","5C",1.22325841338369e-05,1.22325841338369e-05,419,22955621
"chr13",113348809,113360063,"chr13",113496478,113497139,"ATP11A,ENSG00000068650","ATP11A,ENSG00000068650","hg19","H1ESC","5C",1.22325841338369e-05,1.22325841338369e-05,419,22955621
"chr13",113348809,113360063,"chr13",113496478,113497139,"ATP11A,ENSG00000068650","ATP11A,ENSG00000068650","hg19","HELA","5C",1.22325841338369e-05,1.22325841338369e-05,419,22955621
"chr15",43782117,43785993,"chr15",44001645,44015047,"TP53BP1,ENSG00000067369","STRC,ENSG00000242866","hg19","GM12878","5C",8.79360011016874e-08,8.79360011016874e-08,1179,22955621
"chr15",43782117,43785993,"chr15",44001645,44015047,"TP53BP1,ENSG00000067369","STRC,ENSG00000242866","hg19","HELA","5C",8.79360011016874e-08,8.79360011016874e-08,1179,22955621
"chr15",43782117,43785993,"chr15",44001645,44015047,"TP53BP1,ENSG00000067369","STRC,ENSG00000242866","hg19","K562","5C",8.79360011016874e-08,8.79360011016874e-08,1179,22955621
"chr15",43792489,43802874,"chr15",44001645,44015047,"TP53BP1,ENSG00000067369","STRC,ENSG00000242866","hg19","GM12878","5C",0,0,1473,22955621
"chr15",43792489,43802874,"chr15",44001645,44015047,"TP53BP1,ENSG00000067369","STRC,ENSG00000242866","hg19","HELA","5C",0,0,1473,22955621
"chr15",43792489,43802874,"chr15",44001645,44015047,"TP53BP1,ENSG00000067369","STRC,ENSG00000242866","hg19","K562","5C",0,0,1473,22955621
"chr15",43792489,43802874,"chr15",44074989,44078735,"TP53BP1,ENSG00000067369","AC018512,ENSG00000268488","hg19","K562","5C",0.000718135415041215,0.000718135415041215,160,22955621
"chr15",43802874,43806906,"chr15",44001645,44015047,"TP53BP1,MAP1A","STRC,ENSG00000242866","hg19","HELA","5C",3.27354099100808e-05,3.27354099100808e-05,1026,22955621
"chr15",43807815,43812531,"chr15",44001645,44015047,"MAP1A,ENSG00000166963","STRC,ENSG00000242866","hg19","HELA","5C",0.0024084369244526,0.0024084369244526,678,22955621
"chr15",43889977,43895899,"chr15",44001645,44015047,"CKMT1B,STRC","STRC,ENSG00000242866","hg19","GM12878","5C",0.000159116906721076,0.000159116906721076,1253,22955621
"chr15",43889977,43895899,"chr15",44001645,44015047,"CKMT1B,STRC","STRC,ENSG00000242866","hg19","HELA","5C",0.000159116906721076,0.000159116906721076,1253,22955621
"chr15",43889977,43895899,"chr15",44001645,44015047,"CKMT1B,STRC","STRC,ENSG00000242866","hg19","K562","5C",0.000159116906721076,0.000159116906721076,1253,22955621
"chr15",43924442,43930824,"chr15",44001645,44015047,"CATSPER2,ENSG00000166762","STRC,ENSG00000242866","hg19","GM12878","5C",3.23046893952582e-05,3.23046893952582e-05,1325,22955621
"chr15",43924442,43930824,"chr15",44001645,44015047,"CATSPER2,ENSG00000166762","STRC,ENSG00000242866","hg19","HELA","5C",3.23046893952582e-05,3.23046893952582e-05,1325,22955621
"chr15",43924442,43930824,"chr15",44001645,44015047,"CATSPER2,ENSG00000166762","STRC,ENSG00000242866","hg19","K562","5C",3.23046893952582e-05,3.23046893952582e-05,1325,22955621
"chr15",44001645,44015047,"chr15",44080886,44089111,"STRC,ENSG00000242866","SERF2,HYPK,ENSG00000140264,ENSG00000242028","hg19","HELA","5C",0.005369045464119,0.005369045464119,1012,22955621
"chr18",61416739,61420704,"chr18",61609494,61611778,"SERPINB7,ENSG00000166396","AC009802,ENSG00000268706","hg19","HELA","5C",0.00101172952467099,0.00101172952467099,758,22955621
"chr19",54600850,54620705,"chr19",54657233,54663039,"OSCAR,NDUFA3,TFPT,PRPF31","CNOT3,ENSG00000088038","hg19","GM12878","5C",0,0,2152,22955621
"chr19",54600850,54620705,"chr19",54657233,54663039,"OSCAR,NDUFA3,TFPT,PRPF31","CNOT3,ENSG00000088038","hg19","HELA","5C",0,0,2152,22955621
"chr19",54600850,54620705,"chr19",54657233,54663039,"OSCAR,NDUFA3,TFPT,PRPF31","CNOT3,ENSG00000088038","hg19","K562","5C",0,0,2152,22955621
"chr19",54620705,54622004,"chr19",54657233,54663039,"PRPF31,ENSG00000105618","CNOT3,ENSG00000088038","hg19","GM12878","5C",4.38619268996883e-06,4.38619268996883e-06,851,22955621
"chr19",54622004,54643159,"chr19",54657233,54663039,"CNOT3,ENSG00000088038","CNOT3,ENSG00000088038","hg19","HELA","5C",0.000251429290050195,0.000251429290050195,1184,22955621
"chr19",54622004,54643159,"chr19",54657233,54663039,"CNOT3,ENSG00000088038","CNOT3,ENSG00000088038","hg19","K562","5C",0.000251429290050195,0.000251429290050195,1184,22955621
"chr19",54643159,54647787,"chr19",54657233,54663039,"CNOT3,ENSG00000088038","CNOT3,ENSG00000088038","hg19","GM12878","5C",1.51160984116471e-05,1.51160984116471e-05,1453,22955621
"chr19",54643159,54647787,"chr19",54657233,54663039,"CNOT3,ENSG00000088038","CNOT3,ENSG00000088038","hg19","HELA","5C",1.51160984116471e-05,1.51160984116471e-05,1453,22955621
"chr19",54643159,54647787,"chr19",54657233,54663039,"CNOT3,ENSG00000088038","CNOT3,ENSG00000088038","hg19","K562","5C",1.51160984116471e-05,1.51160984116471e-05,1453,22955621
"chr19",54647787,54653912,"chr19",54657233,54663039,"CNOT3,ENSG00000088038","CNOT3,ENSG00000088038","hg19","HELA","5C",0.000248952773329031,0.000248952773329031,2102,22955621
"chr19",54657233,54663039,"chr19",54667671,54677284,"CNOT3,ENSG00000088038","TMC4,ENSG00000167608","hg19","HELA","5C",2.04141998996796e-05,2.04141998996796e-05,1993,22955621
"chr19",54657233,54663039,"chr19",54677284,54691409,"CNOT3,ENSG00000088038","MBOAT7,ENSG00000125505","hg19","HELA","5C",2.34686161364163e-07,2.34686161364163e-07,1782,22955621
